Compound,Date,Negative,Neutral,Positive,Screen_Name
0.0,Sun Dec 03 02:00:17 +0000 2017,1.0,0.0,0.0,CNN
-0.5574,Sun Dec 03 01:45:05 +0000 2017,0.685,0.315,0.0,CNN
-0.4404,Sun Dec 03 01:30:18 +0000 2017,0.775,0.225,0.0,CNN
0.0,Sun Dec 03 01:15:08 +0000 2017,1.0,0.0,0.0,CNN
0.7096,Sun Dec 03 01:00:15 +0000 2017,0.753,0.0,0.247,CNN
-0.3612,Sun Dec 03 00:58:24 +0000 2017,0.73,0.167,0.103,CNN
0.6369,Sun Dec 03 05:28:40 +0000 2017,0.588,0.0,0.412,nytimes
0.2023,Sun Dec 03 05:11:53 +0000 2017,0.663,0.148,0.189,nytimes
0.4215,Sun Dec 03 05:00:08 +0000 2017,0.877,0.0,0.123,nytimes
0.7096,Sun Dec 03 04:59:05 +0000 2017,0.688,0.0,0.312,nytimes
-0.7506,Sun Dec 03 04:47:04 +0000 2017,0.758,0.242,0.0,nytimes
0.0,Sun Dec 03 04:37:03 +0000 2017,1.0,0.0,0.0,nytimes
0.1531,Sun Dec 03 04:24:07 +0000 2017,0.593,0.193,0.215,nytimes
0.8126,Sun Dec 03 04:11:03 +0000 2017,0.641,0.0,0.359,nytimes
0.0,Sun Dec 03 04:00:34 +0000 2017,1.0,0.0,0.0,nytimes
0.2732,Sun Dec 03 03:48:06 +0000 2017,0.9,0.0,0.1,nytimes
0.4019,Sun Dec 03 03:35:05 +0000 2017,0.856,0.0,0.144,nytimes
-0.7269,Sun Dec 03 03:25:05 +0000 2017,0.724,0.276,0.0,nytimes
0.0,Sun Dec 03 03:12:04 +0000 2017,1.0,0.0,0.0,nytimes
0.0,Sun Dec 03 03:00:12 +0000 2017,1.0,0.0,0.0,nytimes
0.7783,Sun Dec 03 02:50:03 +0000 2017,0.63,0.0,0.37,nytimes
0.0,Sun Dec 03 02:37:51 +0000 2017,1.0,0.0,0.0,nytimes
0.7269,Sun Dec 03 02:32:11 +0000 2017,0.643,0.0,0.357,nytimes
0.0,Sun Dec 03 02:14:57 +0000 2017,1.0,0.0,0.0,nytimes
-0.7351,Sun Dec 03 02:00:09 +0000 2017,0.733,0.267,0.0,nytimes
-0.5719,Sun Dec 03 01:36:04 +0000 2017,0.821,0.179,0.0,nytimes
0.3291,Sat Dec 02 21:59:04 +0000 2017,0.895,0.0,0.105,BBC
